Driesch	155	201	356																																																																								
Dufy	416																																																																										
Dungert	28																																																																										
Dülberg	91	155	171	255	324	371	416	468																																																																			
Düren	400																																																																										
Düssel	130																																																																										
Eber(s)bach	46	117																																																																									
Eberhar(d)t	311	427																																																																									
Ebers	171	362																																																																									
Eberz	255	356	367	371	427																																																																						
Eberz	7	62	130	155	243	255	256	289	333	387	393	442	457																																																														
Eckmann	223																																																																										
Ederer	130																																																																										
Edzard	155																																																																										
Eekmann	7	84	98	108	171	371	468																																																																				
Eggeling	468																																																																										
Ehmsen	29	42	54	55	130	131	171	208	324	343	371	408	412	468																																																													
Ehrlich	171	208	371	404	416																																																																						
Eichelsheim	457																																																																										
Eikan	131																																																																										
Eilbrecht	223	468																																																																									
Eimer	171																																																																										
Einschlag	348																																																																										
Eisenlohr	221																																																																										
Elkan	29																																																																										
Emöd	404																																																																										
Ende	255																																																																										
Engelmann	131	283																																																																									
Enseling	131																																																																										
Ensor	371																																																																										
Epper	55	155	171	371																																																																							
Erbach	42	131	457																																																																								
Erbslöh	131	311	400	468																																																																							
Erdle	131	404																																																																									
Eriksdun	29																																																																										
Ernst	131	324																																																																									
Ertl	8																																																																										
Esser	324																																																																										
Eulenstein	171	371																																																																									
Ewald	91	208	372	427																																																																							
Fabritius	362																																																																										
Fabry	457																																																																										
Faistauer	442	443																																																																									
Farkas	372																																																																										
Farwich	42																																																																										
Federmann	427																																																																										
Fehrle	436	443																																																																									
Feibusch	201	208																																																																									
Feidler	131																																																																										
Feigler	84	132																																																																									
Feigl	95	131	132	324	427																																																																						
Feininger	8	15	16	29	62	75	84	95	102	108	117	155	156	171	208	209	221	238	243	244	256	284	290	307	311	316	317	324	337	343	348	362	367	372	393	397	408	416	427	436	443	447	448	449	450	451	457	468																											
Feistauer	223	388																																																																									
Feldbauer	388																																																																										
Felger	436																																																																										
Felixmüller	16	29	46	63	75	84	91	95	102	108	17	118	148	171	209	256	290	311	324	348	356	372	386	404	416	417	427	432	436	443	457	464	468	469	490																																								
Fernkorn	156																																																																										
Fiedler	256	257																																																																									
Filla	290	372	451																																																																								
Filser Caspar	132	427																																																																									
Filser Maria	132																																																																										
Fingesten	42	76	348	393																																																																							
Fiori de	29	116	156	224	257	348	372																																																																				
Fischer	63	209	311	342																																																																							
Fischer-Lamberg	224																																																																										
Fischli	307																																																																										
Flaig	335																																																																										
Flegel	98	172																																																																									
Flinte	257																																																																										
Flores	469																																																																										
Fouconnier	172																																																																										
Frass	8	98	102	231	393																																																																						
Frank	304	404																																																																									
Franke	201																																																																										
Fränkel	42																																																																										
Franz Oskar	102																																																																										
Freie Secession	156																																																																										
Freitag	29	362																																																																									
Fresnaye	417																																																																										
Freundlich	172	247	257	275																																																																							
Freytag	42																																																																										
Friedrich	76	84	348	469																																																																							
Friedrichs	469																																																																										
Fries	304																																																																										
Friesz	469																																																																										
Fritsch	29	42	404																																																																								
Fuglsang	320																																																																										
Fuhr	16	29	101	209	311	324	337	357	372																																																																		
Fuhrmann	42																																																																										
Gabo	290																																																																										
Gallhoff	451																																																																										
Ganglof	307																																																																										
Gangolf	16	84	101	209	257	307																																																																					
Ganz	443																																																																										
Garbe	29	42																																																																									
Gaugin	257																																																																										
Gaugoin	209	324	372																																																																								
Gauguin	372																																																																										
Gawell	42																																																																										
Gärtner	132																																																																										
Gebürsch	231																																																																										
Geerken	408																																																																										
Gehlofen	132																																																																										
Gehri	221																																																																										
Geigenberger	132	224	388	469																																																																							
Geiger	132	172	209	257	348	362	393	404																																																																			
Geiser	443																																																																										
Geiseler	388																																																																										
Geissler	231	325																																																																									
Geitlinger	414																																																																										
Gelb	372																																																																										
Gelbke	76																																																																										
Gemin	63	290																																																																									
Genin	76	95	362	417																																																																							
Gerbig	8	95																																																																									
Gerhardi	172																																																																										
Germer	417																																																																										
Gerson	393																																																																										
Gesser	209																																																																										
Geyer	436	443																																																																									
Geyer & Pflüger	443																																																																										
Geyger	464																																																																										
Gies	76	148																																																																									
Giess	427																																																																										
Gilkes	172																																																																										
Gilles	10	29	172	451	457																																																																						
Giskes	343																																																																										
Gisiend	464																																																																										
Glatte	11																																																																										
Gleichmann	63	98	132	156	284	290	304	307	372	400	417	457																																																															
Gleises	63																																																																										
Gleizes	290	451																																																																									
Gless	357																																																																										
Glette	388																																																																										
von Glümer	172	224																																																																									
Gobiet	132																																																																										
Godenschweg	116																																																																										
Godewold	46																																																																										
Goebel	462																																																																										
Goesch	372																																																																										
van Gogh	29	209	388																																																																								
Goldbach	290																																																																										
Gotheim	17	172	257	457	469																																																																						
Gotsch	63	118																																																																									
Gött	388																																																																										
Göttler	297	273	297																																																																								
Grabe	317																																																																										
Grabow	290																																																																										
Graf	98	224	290	412	436	437	443																																																																				
Gramatée	16	46	55	84	247	337	349	357	273	469																																																																	
Grassmann	316	388																																																																									
Grauel	29	201																																																																									
Graul	231																																																																										
Grasegger	224																																																																										
Greferath	51	91	132	172	173	343	437	463	464																																																																		
Grewenig	373	417																																																																									
Grieb	118																																																																										
Griebel	102	118																																																																									
Grimm	257	275	298																																																																								
Grodzinsky	63																																																																										
Gromaire	417																																																																										
Gross	8	16	17	52	98	103	118	119	133	157	173	209	224	235	257	290	298	307	311	318	349	404	417	427	428	437	451	457	458	469																																													
Gross Hans	469																																																																										
Grossberg	132	173																																																																									
Grossmann	17	30	55	63	76	84	95	98	103	109	132	133	157	173	209	221	224	231	258	290	311	325	333	337	343	349	357	362	367	373	388	393	404	437	443	451	458	469																																					
Grosspietsch	103																																																																										
Grosz	16	17	30	42	63	76	84	91	95	108	109	156	224	258	304	325	357	367	373	386	437	444	451	469																																																			
Grundig	8	11	103	119																																																																							
Grünfeld	30	59																																																																									
Grünewald	258																																																																										
Gruschka	343																																																																										
Gulbransson	173																																																																										
Gunschmann	95																																																																										
Günther	228																																																																										
Gunzinger	17																																																																										
Gurschner	404																																																																										
Gussmann	46																																																																										
Gutmann	201	202																																																																									
Gütersloh von	173																																																																										
Gütt	428																																																																										
Güttner	404																																																																										
Haag	373																																																																										
Haake	173																																																																										
Haas	417	493																																																																									
Haberfeld	59																																																																										
Haitzmann	258	275	276																																																																								
Hal	30	304																																																																									
Haller	30																																																																										
Hallerstede	393	394																																																																									
Hamalle	8																																																																										
Hamm	349																																																																										
Hanf	157																																																																										
Hartig	52	157	451																																																																								
Hartmann	76	98	209	258	428																																																																						
Hartung	276																																																																										
Hasse	42	43	98	224	325	412	469																																																																				
Hasselbrauck	349																																																																										
Hasselmann	355																																																																										
Hassenrichter	451																																																																										
Haueisen	133	173	373																																																																								
Hauser	307	308																																																																									
Hausmann	373																																																																										
Hauswirth	469																																																																										
Haymann	463																																																																										
Häberlein	103	119																																																																									
Hähnel	417																																																																										
Häntke	400																																																																										
Häuser	397																																																																										
Hébert	103	119																																																																									
Hecht	373																																																																										
Heck	209	210																																																																									
Heckel	17	18	19	30	31	47	55	64	76	77	84	85	91	92	95	98	103	109	110	119	133	134	150	157	158	173	174	210	224	237	238	244	258	259	276	284	290	304	308	311	312	316	318	325	333	337	338	343	349	357	362	363	367	373	374	386	394	397	402	408	414	417	418	428	437	438	444	451	452	458	462	463	464	469	470
Heckendorff	31	43																																																																									
Hecker	374	463																																																																									
Heckroth	110	119	462																																																																								
Heckrott	103																																																																										
Heemskerck van	174	464	59																																																																								
Hegemann	325																																																																										
Hegenbarth	47	103	119	134	414	452																																																																					
Hehlberger	210																																																																										
Heidingsfeld	174	175																																																																									
Hein	59																																																																										
Heinicke	11																																																																										
Heinisch	210	404																																																																									
Heinsheimer	43																																																																										
Heise	55	343																																																																									
Heisig	101	276																																																																									
Heister von	134																																																																										
Heit-Müller	259																																																																										
Helbig	175	374																																																																									
Helmbach	367																																																																										
Hemmerle	221																																																																										
Hemmerlein	404																																																																										
Hempel	64																																																																										
Hengstenberg	224																																																																										
Henke	103																																																																										
Henning	349																																																																										
Henninger	374	438																																																																									
Henslmann	374																																																																										
Herber	211	374																																																																									
Henle	259																																																																										
Hennig	134																																																																										
Herbich	405	452																																																																									
Herbig	43	92	158	175	284	291	315																																																																				
Herbin	374																																																																										
Herburger	444																																																																										
Hergarden	134																																																																										
Hermann, Kurt	158	175	343	385	438	452																																																																					
Herrmann	8	134																																																																									
Herricht	98																																																																										
Herzog	31																																																																										
Hertel	388																																																																										
Herthel	308	388																																																																									
Hestrich	175																																																																										
Hettner	31	77	103	374	452																																																																						
Hestermann	405																																																																										
